Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-1097086_Li,mp-1097086,mp-20012,InSb,intercalation,-1.9745848449999999,214.01805762396916,87.79189236428171,-422.5968131406262,-173.35254017638186,0.0,1.371715848611111
mp-1018126_Li,mp-1093540,mp-1018126,GaBi,intercalation,-1.9874014849999997,183.20450272809003,80.54125021560948,-364.1009007804926,-160.06780028225882,0.02717575250000026,1.3713820371428571
mp-1001833_Li,mp-1096733,mp-1001833,InBi,intercalation,-1.8523207099999999,158.73874442371934,81.06464025564127,-294.03506377545233,-150.157711994224,0.028715615833333263,1.3012035925
mp-1002219_Li,mp-1097580,mp-1002219,TlSb,intercalation,-1.5939070000000002,157.64404211245255,80.21975366961452,-251.26994223133295,-127.86282691227429,0.13828066130952354,1.2888021933928577
mp-1185184_Li,mp-1185184,mp-8636,Nb,intercalation,-0.8209922066666668,706.9804132296243,2085.178397650303,-580.4254095275013,-1711.9152139805867,0.3422668800000004,0.7013108750000003
mp-21284_Li,mp-531949,mp-21284,MnAs,intercalation,-0.7364345499999976,29.165480639870122,122.41343009158165,-21.478467610556393,-90.1494793034501,0.13073817500000207,0.1963016891666669
mp-1106357_Li,mp-1180557,mp-1106357,Tb5Sn3,intercalation,-0.587317430000001,23.150672406722443,181.02612140351647,-13.596793420688163,-106.31979638558147,0.0,0.06525749222222199
mp-1185185_Li,mp-1185185,mp-8633,Cr,intercalation,-0.40730717666666627,1104.1669571410382,1821.5100300732279,-449.7351258817402,-741.9141076191409,0.392787160000001,0.4036771725000001
mp-1198729_Li,mp-1198729,mp-573471,Sn,intercalation,-0.3660100533333228,26.936089976559252,69.58474664635372,-9.858879728911633,-25.46871683121768,0.0,0.010166945925925486
mp-18989_Li,mp-769499,mp-18989,LaVO4,intercalation,-0.39509331000001646,13.152825955314809,63.509828488948195,-5.196593542539456,-25.092308355231886,0.03570079374999935,0.08278680582483133
mp-1100424_Li,mp-1222660,mp-1207082,MgSb,intercalation,-0.37597175000000016,167.5647643047363,531.1971646802842,-62.99961767398926,-199.71512759988474,0.0,0.2045278566525428
mp-1225007_Li,mp-773317,mp-1225007,Fe5O8,intercalation,-0.24467478000000617,64.71268036757102,319.2740710418034,-15.833560832146159,-78.11831309185958,0.15328692437500013,0.4163866510714298
mp-1072259_Li,mp-1078650,mp-1072259,LuSn2,intercalation,-0.21798226500000029,63.91531535277792,482.36072269861074,-13.932405208787822,-105.14608288088021,0.0,0.17425128953125002
mp-23427_Li,mp-630234,mp-23427,Ti3(BiO3)4,intercalation,-0.283144232500002,45.2194029719479,331.59429348301757,-12.803613148600498,-93.88901172962942,0.0,0.2447235419047562
mp-1077102_Li,mp-1080066,mp-1077102,TmSn2,intercalation,-0.14675617000000019,64.84827481124124,479.28524411509807,-9.51688444240525,-70.33806676384692,0.0,0.15529946491319446
mp-1222662_Li,mp-1222662,mp-570213,MgBi,intercalation,-0.08054383000000032,108.43453204690286,492.97405792005134,-8.73373251531533,-39.70601871552292,0.0,0.1353982913898304
mp-1080658_Li,mp-1080658,mp-30613,ErSn2,intercalation,-0.09312268999999995,65.11219415055065,479.24432211639703,-6.063422671101538,-44.62852044270536,-8.881784197001252e-16,0.14063858788194405
mp-1091364_Li,mp-1091364,mp-20021,DySn2,intercalation,-0.013071785000001501,65.87380298492522,473.66300010004073,-0.8610881897513996,-6.191620899763422,0.0,0.11465346215277794
mp-1100430_Li,mp-1222606,mp-1100430,ZnSb,intercalation,-0.02652619000000067,133.3068791314127,582.5368539323333,-3.5361236041469777,-15.452483269411712,0.01334992666666679,0.1962913393750001
mp-1072865_Li,mp-1080784,mp-1072865,HoSn2,intercalation,-0.05373644000000022,65.48265268916442,473.88033243550746,-3.518804637272137,-25.464642051100803,-8.881784197001252e-16,0.12663323163194473
mp-1010136_Li,mp-975882,mp-998890,Cu,intercalation,-0.005609873333333626,953.0093288855975,2210.4302686997835,-5.346261620533489,-12.400233819572398,0.03469247000000042,0.02428309833333353
